Title,Rate,Comment,Author,Date,Extraction_date
Great modern and friendly hotel in central Paris,"['ui_bubble_rating', 'bubble_40']","We stayed here for 3 nights in December - 2 adults and a 3 year old. A lovely time to stay with the Christmas lights and a Christmas market in Places des Innocents just around the corner. We stayed in a standard room, and the...More",A_och_F,Reviewed yesterday,2017-12-08 11:57:59.794805
Excellent Hotel,"['ui_bubble_rating', 'bubble_40']","Spent 4 nights here from 24'Nov 17. Everything about this hotel is excellent. Cannot recommend it highly enough.
Staff are all wonderful. Rooms spotless. Breakfast everything you could want. Bar meals very good.
I have stayed at several Novotels this is the best. Also perfect...More",rw005x9966,Reviewed 1 week ago,2017-12-08 11:57:59.794861
Awesome location & front hotel staff!,"['ui_bubble_rating', 'bubble_40']",I stayed at Novotel Les Halles for 4 nights just this past week! I had originally booked a superior room but decided to upgrade to a junior suite on the first day for a nominal fee because I wanted to have a view of Sacre...More,FairFoodCritic,Reviewed 4 weeks ago,2017-12-08 11:57:59.794898
Excellent location,"['ui_bubble_rating', 'bubble_40']",Good hotel. Really nice and helpfull staff in the front desk.Easy to access = RER straight from CDG airport. Close of many attractions and with metro everything. Close of the hotel there are lot of restaurants. Very good breakfast.More,JyriE,Reviewed 4 weeks ago,2017-12-08 11:57:59.794931
Close to all major attractions and shopping Mall just behind.,"['ui_bubble_rating', 'bubble_40']",Novotel Paris Les Halles is very close to all major attractions. Only drawback was when we were there in July they were carrying out renovations to the hotel and there was disruptions mainly getting in and out of the front with no parking at the...More,winst0n53,"Reviewed October 26, 2017",2017-12-08 11:57:59.794960
Our Paris Saviour,"['ui_bubble_rating', 'bubble_40']","We just had to get out of Hotel Castex and to our good fortune, Novotel Les Halles had a room come available during Paris Fashion Week. We high tailed it over there early in the morning even though our room wasn't ready, the lovely Justine...More",z1bby,"Reviewed October 11, 2017",2017-12-08 11:57:59.794986
Perfect location with rooms and service to offer you the full package!,"['ui_bubble_rating', 'bubble_40']","The hotel is located right outside one of the exits of the Chatelet station, so this is extremely convient for anyone using public transport and who happened to have luggage.
The outside of the building is quite unassuming, but on entering, you are warmly greeted...More",Khalil H,"Reviewed September 24, 2017",2017-12-08 11:57:59.795010
Girls Week in Paris,"['ui_bubble_rating', 'bubble_40']",The Novotel Paris Les Halles is a great hotel in an excellent location. The staff was very friendly and knowledgeable. The rooms were very clean and spacious. The only thing missing for me was a microwave to reheat some of the delicious foods we picked...More,donelise99,"Reviewed September 19, 2017",2017-12-08 11:57:59.795039
Great location,"['ui_bubble_rating', 'bubble_40']","Traveling at Novotel as a part of a conference and was pleasantly surprised at how nice the hotel was. The location is ideal, so convenient, can walk everywhere and metro quickly to the Palais de Congres, and much more fun to stay in Les Halles...More",manyadm,"Reviewed September 15, 2017",2017-12-08 11:57:59.795070
Very happy with our stay.,"['ui_bubble_rating', 'bubble_40']","Everything was as it should be. The room was modern, clean, and comfortable. The staff were friendly and helpful when needed. Great location and value for money. Right in the centre of Paris and everything at your fingertips. Would stay here again without a doubt.",Marcello S,"Reviewed September 7, 2017",2017-12-08 11:57:59.795098
